m,s,r,g,level,thin,delta,se,n,slope,callup_first,demotion_first,same_day
hr,2024,SP,PCL,"s,r,g",False,0.006535261531936444,0.0036528052459388733,29,0.012056421832595567,0.0035961567815756754,0.012429653093776352,
hr,2025,SP,IL,"s,r,g",False,0.007747530306395972,0.002473873210478917,62,0.07799997661748105,0.007823371716807227,0.0075161880924118915,
hr,2025,SP,PCL,"s,r,g",False,0.013567517455774388,0.003284230083786375,29,0.18528453561612016,0.013985220707802516,0.012725007981065182,
hr,2023,RP,IL,"s,r,g",False,0.004945377907521285,0.002182427236002687,101,-0.01124243935385647,0.00316355373962567,0.0091002710804262,
hr,2023,RP,PCL,"s,r,g",False,0.009561796812328481,0.0027107134606576743,49,0.2546540654261977,0.008876617902867217,0.010920095517857985,
hr,2024,RP,IL,"s,r,g",False,0.004719210330396491,0.0026878962281354484,83,0.13393524318952066,0.0036058163598650054,0.008612683208608968,
hr,2024,RP,PCL,"s,r,g",False,0.00979067381046311,0.0036438294458701692,44,-0.055212647332285245,0.008795298612542206,0.011259867259030294,
hr,2025,RP,IL,"s,r,g",False,0.010484542013882924,0.0019918193212724537,106,0.3297074436155897,0.008705237762873413,0.014852158281604924,
hr,2025,RP,PCL,"s,r,g",False,0.011073650444984515,0.003949136991626993,39,0.16889569635703655,0.011318904935840025,0.010200650992670158,
brl,2023,bat,IL,"s,r,g",False,-0.008517051777505743,0.002473693862321295,137,0.41166993481042613,-0.008556431267234535,-0.0084177996669396,
brl,2023,bat,PCL,"s,r,g",False,-0.009920055883473498,0.003271923822575993,63,0.5827143300529852,-0.009525603849518782,-0.010801603213525036,
brl,2024,bat,IL,"s,r,g",False,-0.00401365943400538,0.0020320586045733872,115,0.5329922218096586,-0.0034794958187504086,-0.00480252693605871,
brl,2024,bat,PCL,"s,r,g",False,-0.005027638736563819,0.003372427853819836,68,0.6405453498600256,-0.0033753439806925222,-0.007842877168616702,
brl,2025,bat,IL,"s,r,g",False,-0.006708413310583707,0.002476010075547585,128,0.438203762533561,-0.00523034896378254,-0.00948816951799225,
brl,2025,bat,PCL,"s,r,g",False,-0.006105591266799533,0.0028816285132521272,69,0.5213408427139432,-0.006028129392935713,-0.006320831184406702,
brl,2023,SP,IL,"s,r,g",False,0.01914805663125182,0.0034574198759236793,62,-0.14652246679798384,0.017469133102399993,0.022767402273240003,
brl,2023,SP,PCL,"s,r,g",False,0.024391627022390394,0.004440113655217916,20,0.14900221576413158,0.026191625446620386,0.018210672503354914,
brl,2024,SP,IL,"s,r,g",False,0.02453165692740295,0.003154083520760429,56,0.199564531167762,0.02227043079199345,0.032803380314522276,
brl,2024,SP,PCL,"s,r,g",False,0.02429013886560748,0.003996198314722857,29,0.6613966589793137,0.02459621991305947,0.02367629155611005,
brl,2025,SP,IL,"s,r,g",False,0.019027176677882146,0.0036274681700124334,62,0.05216981606533299,0.01730971561370962,0.024266019717095477,
brl,2025,SP,PCL,"s,r,g",False,0.032464701734310195,0.004448928512564784,29,0.2666365617240197,0.029131379631919568,0.03918802849771449,
brl,2023,RP,IL,"s,r,g",False,0.011125368743309128,0.0025032756006972516,101,0.2129132280720327,0.008481325686124025,0.01729080113843679,
brl,2023,RP,PCL,"s,r,g",False,0.0275747407370258,0.0033093458075505295,49,0.2552145169923852,0.0253888689676172,0.03190801304567821,
brl,2024,RP,IL,"s,r,g",False,0.019721030001856963,0.0033824358210419623,83,0.21866680567832653,0.01845418466295508,0.024151113241440023,
brl,2024,RP,PCL,"s,r,g",False,0.023605070351700785,0.004398987891517212,44,0.190498572514848,0.023121070529001083,0.02431946364792054,
brl,2025,RP,IL,"s,r,g",False,0.02080124417597313,0.002847083902814339,106,0.20196688759598702,0.01735995932135317,0.02924848511544476,
brl,2025,RP,PCL,"s,r,g",False,0.025315465184814468,0.0042057696367605955,39,0.44201363091815987,0.02414524649080559,0.029480935408801746,
kbb,2023,SP,IL,"s,r,g",False,-0.01945880401497239,0.008801965219839386,62,0.35004043360810083,-0.018046423243941005,-0.022503549115397703,
kbb,2023,SP,PCL,"s,r,g",False,-0.02690936572739029,0.013499270706759586,20,0.24169011578417648,-0.03219748538017213,-0.008750668127949529,
kbb,2024,SP,IL,"s,r,g",False,-0.041676943189155484,0.0084782173533742,56,0.41877529507240113,-0.044666676606244515,-0.030740289203016684,
kbb,2024,SP,PCL,"s,r,g",False,-0.048776483943285924,0.00941506679752653,29,0.5255388159430321,-0.05293498453078401,-0.04043658698321799,
kbb,2025,SP,IL,"s,r,g",False,-0.030977523640011863,0.009459719206298345,62,0.15632724974508094,-0.03487389465076231,-0.019092260810081408,
